"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"795998","Émeline","K/Bidi","Réunion","Réunion","4","Avocate","Gauche Démocrate et Républicaine","GDR"
"796106","Édouard","Bénard","Normandie","Seine-Maritime","3","Collaborateur d'élu","Gauche Démocrate et Républicaine","GDR"
"719412","Sandrine","Le Feur","Bretagne","Finistère","4","Agriculteur-propriétaire exploitant","Ensemble pour la République","EPR"
"841553","Thierry","Tesson","Hauts-de-France","Nord","17","(74) - Ancien cadre","Rassemblement National","RN"
"794946","Antoine","Villedieu","Bourgogne-Franche-Comté","Haute-Saône","1","Policier","Rassemblement National","RN"
"794234","François","Gernigon","Pays de la Loire","Maine-et-Loire","1","Ancien cadre","Horizons & Indépendants","HOR"
"842147","Christophe","Mongardien","Ile-de-France","Hauts-de-Seine","13","Ingénieur - Responsable Support Technique Grands Comptes","Ensemble pour la République","EPR"
"610002","Eva","Sas","Ile-de-France","Paris","8","Cadre supérieur du secteur privé","Écologiste et Social","EcoS"
"796118","Bénédicte","Auzanot","Provence-Alpes-Côte d'Azur","Vaucluse","2","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Rassemblement National","RN"
"841713","Boris","Tavernier","Auvergne-Rhône-Alpes","Rhône","2","(37) - Cadre administratif et commercial d'entreprise","Écologiste et Social","EcoS"
"840903","Paul","Christophle","Auvergne-Rhône-Alpes","Drôme","1","(37) - Cadre administratif et commercial d'entreprise","Socialistes et apparentés","SOC"
"722336","Vincent","Thiébaut","Grand Est","Bas-Rhin","9","Autre cadre (secteur privé)","Horizons & Indépendants","HOR"
"842271","Emmanuel","Maurel","Ile-de-France","Val-d'Oise","3","(34) - Professeur, profession scientifique","Gauche Démocrate et Républicaine","GDR"
"840075","Eddy","Casterman","Hauts-de-France","Aisne","3","(37) - Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"841075","Sylvie","Josserand","Occitanie","Gard","6","(31) - Profession libérale","Rassemblement National","RN"
"841605","Antoine","Golliot","Hauts-de-France","Pas-de-Calais","5","(47) - Technicien","Rassemblement National","RN"
"677483","Stéphane","Mazars","Occitanie","Aveyron","1","Avocat","Ensemble pour la République","EPR"
"842187","Gabrielle","Cathala","Ile-de-France","Val-d'Oise","6","Secrétaire générale de groupe parlementaire","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"721410","Émilie","Bonnivard","Auvergne-Rhône-Alpes","Savoie","3","Cadre à la Caisse des Dépôts et Consignations","Droite Républicaine","DR"
"330909","Vincent","Descoeur","Auvergne-Rhône-Alpes","Cantal","1","Professeur agrégé de biologie","Droite Républicaine","DR"
"796062","Thomas","Portes","Ile-de-France","Seine-Saint-Denis","3","Cheminot","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841351","Emmanuel","Duplessy","Centre-Val de Loire","Loiret","2","(33) - Cadre de la fonction publique","Écologiste et Social","EcoS"
"793520","Mickaël","Cosson","Bretagne","Côtes-d'Armor","1","Chargé d'opérations urbanisme","Les Démocrates","Dem"
"607553","Dominique","Potier","Grand Est","Meurthe-et-Moselle","5","Agriculteur","Socialistes et apparentés","SOC"
"793094","Nicolas","Ray","Auvergne-Rhône-Alpes","Allier","3","Inspecteur principal des Finances publiques","Droite Républicaine","DR"
"840135","Alexandre","Dufosset","Hauts-de-France","Nord","18","(54) - Employé administratif d'entreprise","Rassemblement National","RN"
"794786","Emmanuel","Fernandes","Grand Est","Bas-Rhin","2","Profession intermédiaire administrative et commerciale des entreprises","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"1654","François","Hollande","Nouvelle-Aquitaine","Corrèze","1","Conseiller référendaire à la Cour des comptes","Socialistes et apparentés","SOC"
"793928","Edwige","Diaz","Nouvelle-Aquitaine","Gironde","11","Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"719632","Sophie","Panonacle","Nouvelle-Aquitaine","Gironde","8","Sans profession déclarée","Ensemble pour la République","EPR"
"840809","Gérault","Verny","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","14","(23) - Chef d'entreprise de 10 salariés ou plus","UDR","UDR"
"796010","Frédéric","Maillot","Réunion","Réunion","6","Intervenant social","Gauche Démocrate et Républicaine","GDR"
"841563","Claire","Marais-Beuil","Hauts-de-France","Oise","1","Profession libérale","Rassemblement National","RN"
"266793","Jean-Yves","Bony","Auvergne-Rhône-Alpes","Cantal","2","Exploitant agricole","Droite Républicaine","DR"
"841013","Isabelle","Mesnard","Centre-Val de Loire","Eure-et-Loir","1","Sans profession déclarée","Horizons & Indépendants","HOR"
"794278","Xavier","Albertini","Grand Est","Marne","1","Profession libérale","Horizons & Indépendants","HOR"
"841801","Danièle","Carteron","Auvergne-Rhône-Alpes","Haute-Savoie","2","Cheffe d'entreprise","Ensemble pour la République","EPR"
"267200","Sébastien","Huyghe","Hauts-de-France","Nord","5","Notaire","Ensemble pour la République","EPR"
"330008","Xavier","Breton","Auvergne-Rhône-Alpes","Ain","1","Cadre territorial","Droite Républicaine","DR"
"842117","Vincent","Jeanbrun","Ile-de-France","Val-de-Marne","7","(33) - Cadre de la fonction publique","Droite Républicaine","DR"
"607090","Jean-Pierre","Vigier","Auvergne-Rhône-Alpes","Haute-Loire","2","Fonctionnaire de catégorie A","Droite Républicaine","DR"
"721336","Blandine","Brocard","Auvergne-Rhône-Alpes","Rhône","5","Employée (secteur privé)","Les Démocrates","Dem"
"794598","Laurent","Jacobelli","Grand Est","Moselle","8","Profession de l'information, des arts et des spectacles","Rassemblement National","RN"
"795422","Damien","Maudet","Nouvelle-Aquitaine","Haute-Vienne","1","Cadre administratif et commercial d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"719922","Lionel","Causse","Nouvelle-Aquitaine","Landes","2","Autre cadre (secteur privé)","Ensemble pour la République","EPR"
"721110","Nicole","Sanquer","Polynésie française","Polynésie Française","2","Professeur du secondaire et technique","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"793166","Jocelyn","Dessigny","Hauts-de-France","Aisne","5","Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"795908","Yannick","Chenevard","Provence-Alpes-Côte d'Azur","Var","1","Profession libérale","Ensemble pour la République","EPR"
"841621","Auguste","Evrard","Hauts-de-France","Pas-de-Calais","8","Collaborateur de cabinet en mairie","Rassemblement National","RN"
"793270","Jean-François","Rousset","Occitanie","Aveyron","3","Chirurgien","Ensemble pour la République","EPR"
"720992","Jiovanny","William","Martinique","Martinique","1","Profession libérale","Socialistes et apparentés","SOC"
"606793","Laurent","Baumel","Centre-Val de Loire","Indre-et-Loire","4","Cadre supérieur du secteur public","Socialistes et apparentés","SOC"
"842155","Aly","Diouara","Ile-de-France","Seine-Saint-Denis","5","(33) - Cadre de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"794322","Thomas","Ménagé","Centre-Val de Loire","Loiret","4","Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"795950","David","Amiel","Ile-de-France","Paris","13","Economiste","Ensemble pour la République","EPR"
"841495","Maxime","Amblard","Grand Est","Meuse","1","(38) - Ingénieur et cadre technique d'entreprise","Rassemblement National","RN"
"840657","Sophie","Ricourt Vaginay","Provence-Alpes-Côte d'Azur","Alpes-de-Haute-Provence","2","(37) - Cadre administratif et commercial d'entreprise","UDR","UDR"
"795430","Stéphane","Delautrette","Nouvelle-Aquitaine","Haute-Vienne","2","Ingénieur dans le domaine de l'environnement","Socialistes et apparentés","SOC"
"722252","Marie-Pierre","Rixain","Ile-de-France","Essonne","4","Consultante en communication","Ensemble pour la République","EPR"
"606507","Florent","Boudié","Nouvelle-Aquitaine","Gironde","10","Cadre supérieur du secteur public","Ensemble pour la République","EPR"
"793382","Emmanuel","Taché de la Pagerie","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","16","Cadre de la fonction publique","Rassemblement National","RN"
"2960","Éric","Woerth","Hauts-de-France","Oise","4","Associé dans un cabinet d'audit international","Ensemble pour la République","EPR"
"840713","Sophie","Delorme Duret","Auvergne-Rhône-Alpes","Ain","3","Pharmacien Titulaire","Ensemble pour la République","EPR"
"841207","Charles","Alloncle","Occitanie","Hérault","9","(37) - Cadre administratif et commercial d'entreprise","UDR","UDR"
"795124","Didier","Padey","Auvergne-Rhône-Alpes","Savoie","1","cadre commercial","Les Démocrates","Dem"
"841395","Maxime","Michelet","Grand Est","Marne","3","Historien","UDR","UDR"
"793940","Thomas","Cazenave","Nouvelle-Aquitaine","Gironde","1","Cadre de la fonction publique","Ensemble pour la République","EPR"
"842125","Thomas","Lam","Ile-de-France","Hauts-de-Seine","2","(23) - Chef d'entreprise de 10 salariés ou plus","Horizons & Indépendants","HOR"
"720560","Perrine","Goulet","Bourgogne-Franche-Comté","Nièvre","1","Autre cadre (secteur privé)","Les Démocrates","Dem"
"721270","Stéphane","Peu","Ile-de-France","Seine-Saint-Denis","2","Employé","Gauche Démocrate et Républicaine","GDR"
"719938","Marc","Fesneau","Centre-Val de Loire","Loir-et-Cher","1","Ministre","Les Démocrates","Dem"
"719578","Loïc","Prud'homme","Nouvelle-Aquitaine","Gironde","3","Fonctionnaire de catégorie B","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841981","Catherine","Rimbert","Provence-Alpes-Côte d'Azur","Vaucluse","5","(31) - Profession libérale","Rassemblement National","RN"
"841215","Marie","Mesmeur","Bretagne","Ille-et-Vilaine","1","Educatrice spécialisée","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"722134","Jean-Marie","Fiévet","Nouvelle-Aquitaine","Deux-Sèvres","3","Fonctionnaire de catégorie B","Ensemble pour la République","EPR"
"795156","Fatiha","Keloua Hachi","Ile-de-France","Seine-Saint-Denis","8","Professeur, profession scientifique","Socialistes et apparentés","SOC"
"796018","Danielle","Simonnet","Ile-de-France","Paris","15","Professeur, profession scientifique","Écologiste et Social","EcoS"
"266797","Philippe","Gosselin","Normandie","Manche","1","Maître de conférences à Sciences Po","Droite Républicaine","DR"
"774958","Gérard","Leseul","Normandie","Seine-Maritime","5","Cadre d'entreprise / enseignant universitaire","Socialistes et apparentés","SOC"
"793816","Mélanie","Thomin","Bretagne","Finistère","6","Professeur, profession scientifique","Socialistes et apparentés","SOC"
"721896","Elsa","Faucillon","Ile-de-France","Hauts-de-Seine","1","Employée du secteur privé","Gauche Démocrate et Républicaine","GDR"
"1567","Jérôme","Guedj","Ile-de-France","Essonne","6","Inspecteur général des affaires sociales","Socialistes et apparentés","SOC"
"643175","Stella","Dupont","Pays de la Loire","Maine-et-Loire","2","Comptable","Non inscrit","NI"
"722390","Josiane","Corneloup","Bourgogne-Franche-Comté","Saône-et-Loire","2","Pharmacien","Droite Républicaine","DR"
"722142","François","Ruffin","Hauts-de-France","Somme","1","Reporter","Écologiste et Social","EcoS"
"795084","Rodrigo","Arenas","Ile-de-France","Paris","10","Cadre de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"805166","Anne","Bergantz","Ile-de-France","Yvelines","2","responsable de service social","Les Démocrates","Dem"
"793664","Marie","Pochon","Auvergne-Rhône-Alpes","Drôme","3","Responsable associative","Écologiste et Social","EcoS"
"795046","Caroline","Yadan","Français établis hors de France","Français établis hors de France","8","Avocat","Ensemble pour la République","EPR"
"721852","Marie","Lebec","Ile-de-France","Yvelines","4","Consultante en affaires publiques","Ensemble pour la République","EPR"
"606573","Fanny","Dombre Coste","Occitanie","Hérault","3","Artisan Photographe","Socialistes et apparentés","SOC"
"794830","Hubert","Ott","Grand Est","Haut-Rhin","2","Professeur, profession scientifique","Les Démocrates","Dem"
"793744","Anne","Stambach-Terrenoir","Occitanie","Haute-Garonne","2","Professeure de piano","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"795164","Aurélie","Trouvé","Ile-de-France","Seine-Saint-Denis","9","Cadre de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"721426","Véronique","Riotton","Auvergne-Rhône-Alpes","Haute-Savoie","1","Consultante-Coach en Ressources Humaines","Ensemble pour la République","EPR"
"331973","Pascale","Got","Nouvelle-Aquitaine","Gironde","5","Journaliste","Socialistes et apparentés","SOC"
"840979","Corentin","Le Fur","Bretagne","Côtes-d'Armor","3","(37) - Cadre administratif et commercial d'entreprise","Droite Républicaine","DR"
"840143","Guillaume","Florquin","Hauts-de-France","Nord","20","(33) - Cadre de la fonction publique","Rassemblement National","RN"
"342384","Élisa","Martin","Auvergne-Rhône-Alpes","Isère","3","Professeur, profession scientifique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"794702","Delphine","Lingemann","Auvergne-Rhône-Alpes","Puy-de-Dôme","4","Chef d'entreprise - Enseignante associée université","Les Démocrates","Dem"
"840857","Nadine","Lechon","Nouvelle-Aquitaine","Dordogne","1","(12) - Agriculteur sur moyenne exploitation","Rassemblement National","RN"
"795244","Stéphane","Lenormand","Saint-Pierre-et-Miquelon","Saint-Pierre-et-Miquelon","1","Ancien cadre","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"267780","Agnès","Firmin Le Bodo","Normandie","Seine-Maritime","7","Pharmacien","Horizons & Indépendants","HOR"
"719558","Erwan","Balanant","Bretagne","Finistère","8","Photographe et réalisateur","Les Démocrates","Dem"
"796050","Philippe","Schreck","Provence-Alpes-Côte d'Azur","Var","8","Profession libérale","Rassemblement National","RN"
"841769","Éric","Michoux","Bourgogne-Franche-Comté","Saône-et-Loire","4","(23) - Chef d'entreprise de 10 salariés ou plus","UDR","UDR"
"794554","Salvatore","Castiglione","Hauts-de-France","Nord","21","Directeur adjoint d'une structure associative","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"791824","Sarah","Legrain","Ile-de-France","Paris","16","Professeure de français","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841709","Emmanuelle","Hoffman","Ile-de-France","Paris","4","Avocat","Ensemble pour la République","EPR"
"794138","Ségolène","Amiot","Pays de la Loire","Loire-Atlantique","3","Employé administratif d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841729","Abdelkader","Lahmar","Auvergne-Rhône-Alpes","Rhône","7","(34) - Professeur, profession scientifique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"793672","Christine","Loir","Normandie","Eure","1","Profession intermédiaire de la santé et du travail social","Rassemblement National","RN"
"721004","Amélia","Lakrafi","Français établis hors de France","Français établis hors de France","10","Chef d'entreprise","Ensemble pour la République","EPR"
"794590","Alexandre","Loubet","Grand Est","Moselle","7","Cadre d'entreprise","Rassemblement National","RN"
"721916","Natalia","Pouzyreff","Ile-de-France","Yvelines","6","Ingénieure","Ensemble pour la République","EPR"
"721314","Raphaël","Schellenberger","Grand Est","Haut-Rhin","4","(33) - Cadre de la fonction publique","Non inscrit","NI"
"795176","Nicolas","Metzdorf","Nouvelle-Calédonie","Nouvelle-Calédonie","1","Ingénieur et cadre technique d'entreprise","Ensemble pour la République","EPR"
"793218","Jordan","Guitton","Grand Est","Aube","1","Assistant Parlementaire","Rassemblement National","RN"
"608264","Colette","Capdevielle","Nouvelle-Aquitaine","Pyrénées-Atlantiques","5","Avocate","Socialistes et apparentés","SOC"
"840765","Laurent","Lhardit","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","2","Chef d'entreprise","Socialistes et apparentés","SOC"
"588884","Clémentine","Autain","Ile-de-France","Seine-Saint-Denis","11","Journaliste et autre média","Écologiste et Social","EcoS"
"842211","Béatrice","Bellay","Martinique","Martinique","3","(33) - Cadre de la fonction publique","Socialistes et apparentés","SOC"
"721442","Christelle","Petex","Auvergne-Rhône-Alpes","Haute-Savoie","3","Cadre administratif et commercial d'entreprise","Droite Républicaine","DR"
"794478","David","Guiraud","Hauts-de-France","Nord","8","Cadre administratif d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"720092","Richard","Ramos","Centre-Val de Loire","Loiret","6","Autre cadre (secteur privé)","Les Démocrates","Dem"
"642695","Éric","Bothorel","Bretagne","Côtes-d'Armor","5","Cadre supérieur (secteur privé)","Ensemble pour la République","EPR"
"840673","Valérie","Rossi","Provence-Alpes-Côte d'Azur","Hautes-Alpes","2","(37) - Cadre administratif et commercial d'entreprise","Socialistes et apparentés","SOC"
"720668","Emmanuel","Blairy","Hauts-de-France","Pas-de-Calais","1","Fonctionnaire territorial","Rassemblement National","RN"
"721474","Stéphane","Viry","Grand Est","Vosges","1","Avocat","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"720720","Josy","Poueyto","Nouvelle-Aquitaine","Pyrénées-Atlantiques","1","Retraitée de la fonction publique (hors enseignement)","Les Démocrates","Dem"
"840869","Florence","Joubert","Nouvelle-Aquitaine","Dordogne","3","(33) - Cadre de la fonction publique","Rassemblement National","RN"
"793394","Arthur","Delaporte","Normandie","Calvados","2","Professeur, profession scientifique","Socialistes et apparentés","SOC"
"720952","Aurélien","Taché","Ile-de-France","Val-d'Oise","10","Fonctionnaire de catégorie A","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"794734","Michel","Guiniot","Hauts-de-France","Oise","6","Ancien cadre","Rassemblement National","RN"
"2952","Jean-Luc","Warsmann","Grand Est","Ardennes","3","Directeur de mutuelle","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"795888","Marie-Ange","Rousselot","Français établis hors de France","Français établis hors de France","6","Cheffe d'entreprise","Ensemble pour la République","EPR"
"942","Charles","de Courson","Grand Est","Marne","5","Conseiller référendaire honoraire à la Cour des comptes","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"842323","Remi","Provendier","Français établis hors de France","Français établis hors de France","11","Ingénieur","Ensemble pour la République","EPR"
"840721","Marc","Chavent","Auvergne-Rhône-Alpes","Ain","5","(33) - Cadre de la fonction publique","UDR","UDR"
"610968","Pouria","Amirshahi","Ile-de-France","Paris","5","Cadre territorial de catégorie A","Écologiste et Social","EcoS"
"721750","Céline","Calvez","Ile-de-France","Hauts-de-Seine","5","Consultante communication","Ensemble pour la République","EPR"
"841327","Fabrice","Roussel","Pays de la Loire","Loire-Atlantique","5","(34) - Professeur, profession scientifique","Socialistes et apparentés","SOC"
"793616","Kévin","Mauvieux","Normandie","Eure","3","Conseiller en assurance","Rassemblement National","RN"
"333285","Guillaume","Garot","Pays de la Loire","Mayenne","1","Cadre administratif","Socialistes et apparentés","SOC"
"722284","Bruno","Fuchs","Grand Est","Haut-Rhin","6","Chef d'entreprise","Les Démocrates","Dem"
"794466","Jean","Moulliere","Hauts-de-France","Nord","6","Collaborateur d'élu","Horizons & Indépendants","HOR"
"794206","Christophe","Marion","Centre-Val de Loire","Loir-et-Cher","3","Délégué général du Comité des travaux historiques et scientifiques","Ensemble pour la République","EPR"
"795258","Frantz","Gumbs","Saint-Barthélemy et Saint-Martin","Saint-Barthélemy et Saint-Martin","1","Personnel de direction de l'éducation nationale retraité","Les Démocrates","Dem"
"793464","Sébastien","Delogu","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","7","Sans profession","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"795278","Béatrice","Bellamy","Pays de la Loire","Vendée","2","Cadre administratif et commercial d'entreprise","Horizons & Indépendants","HOR"
"342196","Claudia","Rouaux","Bretagne","Ille-et-Vilaine","3","Gestionnaire à l'INRAE","Socialistes et apparentés","SOC"
"794870","Sylvie","Ferrer","Occitanie","Hautes-Pyrénées","1","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"793452","Hendrik","Davi","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","5","Professeur, profession scientifique","Écologiste et Social","EcoS"
"795868","Jean-Victor","Castor","Guyane","Guyane","1","Cadre technique d'entreprise","Gauche Démocrate et Républicaine","GDR"
"607846","Gérald","Darmanin","Hauts-de-France","Nord","10","Cadre supérieur du secteur privé","Ensemble pour la République","EPR"
"687214","Sylvain","Berrios","Ile-de-France","Val-de-Marne","1","(33) - Cadre de la fonction publique","Horizons & Indépendants","HOR"
"841367","Christophe","Proença","Occitanie","Lot","2","(34) - Professeur, profession scientifique","Socialistes et apparentés","SOC"
"607395","Stéphane","Travert","Normandie","Manche","3","Cadre secteur privé","Ensemble pour la République","EPR"
"793342","Alexandra","Martin","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","8","Employé civil et agent de service de la fonction publique","Droite Républicaine","DR"
"721486","Christophe","Naegelen","Grand Est","Vosges","3","Industriel-Chef d'entreprise","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"1592","David","Habib","Nouvelle-Aquitaine","Pyrénées-Atlantiques","3","Cadre","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"841419","Damien","Girard","Bretagne","Morbihan","5","(38) - Ingénieur et cadre technique d'entreprise","Écologiste et Social","EcoS"
"842037","Bérenger","Cernon","Ile-de-France","Essonne","8","(65) - Ouvrier qualifié de la manutention, du magasinage et du transport","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"720138","Laetitia","Saint-Paul","Pays de la Loire","Maine-et-Loire","4","Officier de l'armée de Terre","Horizons & Indépendants","HOR"
"840829","Fabrice","Barusseau","Nouvelle-Aquitaine","Charente-Maritime","3","(34) - Professeur, profession scientifique","Socialistes et apparentés","SOC"
"643143","Christian","Baptiste","Guadeloupe","Guadeloupe","2","Directeur d'association","Socialistes et apparentés","SOC"
"841955","Matthias","Renault","Hauts-de-France","Somme","3","(37) - Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"643192","Chantal","Jourdan","Normandie","Orne","1","Psychologue","Socialistes et apparentés","SOC"
"718884","Valérie","Bazin-Malgras","Grand Est","Aube","2","Commerçante","Droite Républicaine","DR"
"719918","Fabien","Lainé","Nouvelle-Aquitaine","Landes","1","Collaborateur parlementaire","Les Démocrates","Dem"
"794426","Anne","Le Hénanff","Bretagne","Morbihan","1","Consultante indépendante","Horizons & Indépendants","HOR"
"793892","Stéphanie","Galzy","Occitanie","Hérault","5","Employé administratif d'entreprise","Rassemblement National","RN"
"793174","Yannick","Monnet","Auvergne-Rhône-Alpes","Allier","1","Cadre de la fonction publique","Gauche Démocrate et Républicaine","GDR"
"795920","Prisca","Thevenot","Ile-de-France","Hauts-de-Seine","8","Collaboratrice parlementaire","Ensemble pour la République","EPR"
"720038","Sandrine","Josso","Pays de la Loire","Loire-Atlantique","7","Autre profession libérale","Les Démocrates","Dem"
"267042","Yannick","Favennec-Bécot","Pays de la Loire","Mayenne","3","Directeur de cabinet","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"841869","Michel","Gonord","Ile-de-France","Seine-et-Marne","3","retraité","Droite Républicaine","DR"
"794106","Andrée","Taurinya","Auvergne-Rhône-Alpes","Loire","2","Professeur, profession scientifique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"309643","Véronique","Besse","Pays de la Loire","Vendée","4","Journaliste","Non inscrit","NI"
"719756","Christine","Le Nabour","Bretagne","Ille-et-Vilaine","5","Employée (secteur privé)","Ensemble pour la République","EPR"
"794802","Charles","Sitzenstuhl","Grand Est","Bas-Rhin","5","Cadre de la fonction publique","Ensemble pour la République","EPR"
"794022","Jérémie","Iordanoff","Auvergne-Rhône-Alpes","Isère","5","Artiste-peintre","Écologiste et Social","EcoS"
"721234","Maud","Petit","Ile-de-France","Val-de-Marne","4","Chargée de ressources humaines","Les Démocrates","Dem"
"794354","Hélène","Laporte","Nouvelle-Aquitaine","Lot-et-Garonne","2","Analyste bancaire","Rassemblement National","RN"
"335758","Franck","Riester","Ile-de-France","Seine-et-Marne","5","Chef d'entreprise","Ensemble pour la République","EPR"
"841091","Arnaud","Simion","Occitanie","Haute-Garonne","6","(33) - Cadre de la fonction publique","Socialistes et apparentés","SOC"
"608172","Christine","Pirès Beaune","Auvergne-Rhône-Alpes","Puy-de-Dôme","2","Fonctionnaire de catégorie A","Socialistes et apparentés","SOC"
"340343","Hervé","Saulignac","Auvergne-Rhône-Alpes","Ardèche","1","Cadre (entreprises publiques)","Socialistes et apparentés","SOC"
"795540","Daniel","Grenon","Bourgogne-Franche-Comté","Yonne","1","Ancien artisan, commerçant, chef d'entreprise","Non inscrit","NI"
"720362","Belkhir","Belhaddad","Grand Est","Moselle","1","Industriel-Chef d'entreprise","Ensemble pour la République","EPR"
