"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"719286","Paul-André","Colombani","Corse","Corse-du-Sud","2","Médecin","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"774960","Isabelle","Santiago","Ile-de-France","Val-de-Marne","9","Cadre territorial","Socialistes et apparentés","SOC"
"795746","Antoine","Léaument","Ile-de-France","Essonne","10","Responsable de la communication numérique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"720154","Nicole","Dubré-Chirat","Pays de la Loire","Maine-et-Loire","6","Retraitée de la fonction publique hospitalière et chargée de formation","Ensemble pour la République","EPR"
"794982","Julie","Delpech","Pays de la Loire","Sarthe","1","Chargée de communication","Ensemble pour la République","EPR"
"569","Philippe","Bonnecarrère","Occitanie","Tarn","1","Avocat","Non inscrit","NI"
"794418","Florence","Goulet","Grand Est","Meuse","2","Cadre de la fonction publique","Rassemblement National","RN"
"795636","Benjamin","Lucas-Lundy","Ile-de-France","Yvelines","8","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Écologiste et Social","EcoS"
"719778","François","Jolivet","Centre-Val de Loire","Indre","1","Cadre supérieur (secteur privé)","Horizons & Indépendants","HOR"
"719024","Christophe","Blanchet","Normandie","Calvados","4","Commerçant","Les Démocrates","Dem"
"841837","Robert","Le Bourgeois","Normandie","Seine-Maritime","10","(37) - Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"841471","Stéphane","Hablot","Grand Est","Meurthe-et-Moselle","2","Education nationale","Socialistes et apparentés","SOC"
"795596","Paul","Vannier","Ile-de-France","Val-d'Oise","5","Professeur d'histoire-géographie","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"719968","Sylvie","Bonnet","Auvergne-Rhône-Alpes","Loire","4","Collaboratrice parlementaire","Droite Républicaine","DR"
"795026","Anne-Cécile","Violland","Auvergne-Rhône-Alpes","Haute-Savoie","5","Profession libérale","Horizons & Indépendants","HOR"
"841017","Harold","Huwart","Centre-Val de Loire","Eure-et-Loir","3","Administrateur de l'État","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"721816","Ian","Boucard","Bourgogne-Franche-Comté","Territoire de Belfort","1","Autre cadre (secteur privé)","Droite Républicaine","DR"
"794718","Christine","Engrand","Hauts-de-France","Pas-de-Calais","6","Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"794038","Yannick","Neuder","Auvergne-Rhône-Alpes","Isère","7","Cardiologue","Droite Républicaine","DR"
"793716","Laurent","Croizier","Bourgogne-Franche-Comté","Doubs","1","Professeur des écoles, instituteur et assimilé","Les Démocrates","Dem"
"795466","Ersilia","Soudais","Ile-de-France","Seine-et-Marne","7","Professeur, profession scientifique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"642764","Joël","Aviragnet","Occitanie","Haute-Garonne","8","Directeur d'un établissement pour l'enfance handicapée","Socialistes et apparentés","SOC"
"841047","François-Xavier","Ceccoli","Corse","Haute-Corse","2","(23) - Chef d'entreprise de 10 salariés ou plus","Droite Républicaine","DR"
"736201","Sophie","Taillé-Polian","Ile-de-France","Val-de-Marne","11","Cadre de la fonction publique","Écologiste et Social","EcoS"
"722150","Sacha","Houlié","Nouvelle-Aquitaine","Vienne","2","Avocat","Non inscrit","NI"
"795100","Éric","Martineau","Pays de la Loire","Sarthe","3","Agriculteur sur moyenne exploitation","Les Démocrates","Dem"
"719080","Sandra","Marsaud","Nouvelle-Aquitaine","Charente","2","Cadre (entreprises publiques)","Ensemble pour la République","EPR"
"795974","Philippe","Lottiaux","Provence-Alpes-Côte d'Azur","Var","4","Cadre de la fonction publique","Rassemblement National","RN"
"722366","Jean-Luc","Fugit","Auvergne-Rhône-Alpes","Rhône","11","Professeur de faculté","Ensemble pour la République","EPR"
"840939","Océane","Godard","Bourgogne-Franche-Comté","Côte-d'Or","1","Psychologue du travail","Socialistes et apparentés","SOC"
"720614","Marine","Le Pen","Hauts-de-France","Pas-de-Calais","11","Avocate","Rassemblement National","RN"
"722046","Aurore","Bergé","Ile-de-France","Yvelines","10","Cadre supérieur (secteur privé)","Ensemble pour la République","EPR"
"793980","Charles","Fournier","Centre-Val de Loire","Indre-et-Loire","1","Consultant, formateur","Écologiste et Social","EcoS"
"841665","Denis","Fégné","Occitanie","Hautes-Pyrénées","2","(74) - Ancien cadre","Socialistes et apparentés","SOC"
"795350","Frédéric","Valletoux","Ile-de-France","Seine-et-Marne","2","Profession de l'information","Horizons & Indépendants","HOR"
"719436","Nicolas","Meizonnet","Occitanie","Gard","2","Ingénieur en informatique","Rassemblement National","RN"
"840781","Romain","Tonussi","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","8","(45) - Profession intermédiaire administrative de la fonction publique","Rassemblement National","RN"
"795616","Carlos Martens","Bilongo","Ile-de-France","Val-d'Oise","8","Professeur, profession scientifique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"643157","Philippe","Naillet","Réunion","Réunion","1","Inspecteur assurance-vie","Socialistes et apparentés","SOC"
"717379","Sylvain","Maillard","Ile-de-France","Paris","1","Industriel-Chef d'entreprise","Ensemble pour la République","EPR"
"719388","Annaïg","Le Meur","Bretagne","Finistère","1","Autre profession libérale","Ensemble pour la République","EPR"
"841539","Julien","Gokel","Hauts-de-France","Nord","13","(45) - Profession intermédiaire administrative de la fonction publique","Socialistes et apparentés","SOC"
"722374","Cyrille","Isaac-Sibille","Auvergne-Rhône-Alpes","Rhône","12","Médecin","Les Démocrates","Dem"
"795010","Marie-Charlotte","Garin","Auvergne-Rhône-Alpes","Rhône","3","Collaboratrice politique en collectivité locale","Écologiste et Social","EcoS"
"841693","Jean","Laussucq","Ile-de-France","Paris","2","(33) - Cadre de la fonction publique","Ensemble pour la République","EPR"
"840889","Matthieu","Bloch","Bourgogne-Franche-Comté","Doubs","3","(37) - Cadre administratif et commercial d'entreprise","UDR","UDR"
"842311","Vincent","Caure","Français établis hors de France","Français établis hors de France","3","(33) - Cadre de la fonction publique","Ensemble pour la République","EPR"
"793572","Christophe","Plassard","Nouvelle-Aquitaine","Charente-Maritime","5","Profession libérale","Horizons & Indépendants","HOR"
"795762","Elie","Califer","Guadeloupe","Guadeloupe","4","Ancien cadre","Socialistes et apparentés","SOC"
"793322","Christelle","D'Intorni","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","5","Avocate","UDR","UDR"
"793844","Pascale","Bordes","Occitanie","Gard","3","Profession libérale","Rassemblement National","RN"
"720644","Jérôme","Nury","Normandie","Orne","3","Cadre de la fonction publique","Droite Républicaine","DR"
"793238","Christophe","Barthès","Occitanie","Aude","1","Agriculteur sur moyenne exploitation","Rassemblement National","RN"
"267318","Jean-Carles","Grelier","Pays de la Loire","Sarthe","5","Avocat","Les Démocrates","Dem"
"720342","Nicole","Le Peih","Bretagne","Morbihan","3","Agricultrice","Ensemble pour la République","EPR"
"796034","Frank","Giletti","Provence-Alpes-Côte d'Azur","Var","6","Fonctionnaire","Rassemblement National","RN"
"722190","Gabriel","Attal","Ile-de-France","Hauts-de-Seine","10","Consultant","Ensemble pour la République","EPR"
"841339","Jean-Michel","Brard","Pays de la Loire","Loire-Atlantique","9","(22) - Commerçant et assimilé","Horizons & Indépendants","HOR"
"840955","Pierre","Pribetich","Bourgogne-Franche-Comté","Côte-d'Or","3","(34) - Professeur, profession scientifique","Socialistes et apparentés","SOC"
"840119","Sandra","Delannoy","Hauts-de-France","Nord","3","(21) - Artisan","Rassemblement National","RN"
"794762","Sandrine","Dogor-Such","Occitanie","Pyrénées-Orientales","3","Préparatrice en pharmacie","Rassemblement National","RN"
"719118","François","Cormier-Bouligeon","Centre-Val de Loire","Cher","1","Juriste","Ensemble pour la République","EPR"
"793872","Nathalie","Oziol","Occitanie","Hérault","2","Professeur, profession scientifique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"342240","Jean-Luc","Bourgeaux","Bretagne","Ille-et-Vilaine","7","Agriculteur","Droite Républicaine","DR"
"793362","José","Gonzalez","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","10","Ancien employé","Rassemblement National","RN"
"842227","Joseph","Rivière","Réunion","Réunion","3","(45) - Profession intermédiaire administrative de la fonction publique","Rassemblement National","RN"
"722102","Annie","Vidal","Normandie","Seine-Maritime","2","Retraitée de la fonction publique hospitalière","Ensemble pour la République","EPR"
"267763","Jean-Pierre","Bataille","Hauts-de-France","Nord","15","Pharmacien","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"721296","Guillaume","Gouffier Valente","Ile-de-France","Val-de-Marne","6","Manager public","Ensemble pour la République","EPR"
"841381","Sophie","Pantel","Occitanie","Lozère","1","(45) - Profession intermédiaire administrative de la fonction publique","Socialistes et apparentés","SOC"
"841515","Aurélien","Le Coq","Hauts-de-France","Nord","1","(54) - Employé administratif d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"330240","Éric","Ciotti","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","1","(33) - Cadre de la fonction publique","UDR","UDR"
"840171","Emmanuel","Grégoire","Ile-de-France","Paris","7","(37) - Cadre administratif et commercial d'entreprise","Socialistes et apparentés","SOC"
"842105","Raphaël","Arnault","Provence-Alpes-Côte d'Azur","Vaucluse","1","(52) - Employé civil et agent de service de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841431","Nathalie","Colin-Oesterlé","Grand Est","Moselle","3","(31) - Profession libérale","Horizons & Indépendants","HOR"
"841645","Théo","Bernhardt","Grand Est","Bas-Rhin","8","Ingénieur de recherche","Rassemblement National","RN"
"332523","Marie-Christine","Dalloz","Bourgogne-Franche-Comté","Jura","2","(86) - Personne diverse sans activité professionnelle de 60 ans et plus","Droite Républicaine","DR"
"842263","Ayda","Hadizadeh","Ile-de-France","Val-d'Oise","2","(37) - Cadre administratif et commercial d'entreprise","Socialistes et apparentés","SOC"
"793146","Nicolas","Dragon","Hauts-de-France","Aisne","1","Profession libérale","Rassemblement National","RN"
"721584","Jean","Terlier","Occitanie","Tarn","3","Avocat","Ensemble pour la République","EPR"
"794658","Philippe","Fait","Hauts-de-France","Pas-de-Calais","4","Professeur des écoles, instituteur et assimilé","Ensemble pour la République","EPR"
"793254","Julien","Rancoule","Occitanie","Aude","3","Profession libérale","Rassemblement National","RN"
"720908","Naïma","Moutchou","Ile-de-France","Val-d'Oise","4","Avocat","Horizons & Indépendants","HOR"
"717161","Élisabeth","Borne","Normandie","Calvados","6","Ingénieur et cadre technique d'entreprise","Ensemble pour la République","EPR"
"720066","Stéphanie","Rist","Centre-Val de Loire","Loiret","1","Médecin","Ensemble pour la République","EPR"
"642847","Thibault","Bazin","Grand Est","Meurthe-et-Moselle","4","Autre cadre (secteur privé)","Droite Républicaine","DR"
"794178","Jean-Pierre","Taite","Auvergne-Rhône-Alpes","Loire","6","Ancien artisan, commerçant, chef d'entreprise","Droite Républicaine","DR"
"794094","Mickaël","Bouloux","Bretagne","Ille-et-Vilaine","8","Ingénieur et cadre technique d'entreprise","Socialistes et apparentés","SOC"
"795588","Farida","Amrani","Ile-de-France","Essonne","1","Cadre de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841243","Sébastien","Saint-Pasteur","Nouvelle-Aquitaine","Gironde","7","(33) - Cadre de la fonction publique","Socialistes et apparentés","SOC"
"840801","Emmanuel","Fouquart","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","13","Retraité militaire","Rassemblement National","RN"
"721062","Jean-Hugues","Ratenon","Réunion","Réunion","5","Employé (secteur privé)","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841191","Sandrine","Nosbé","Auvergne-Rhône-Alpes","Isère","9","(54) - Employé administratif d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"794270","Anna","Pic","Normandie","Manche","4","Professeur, profession scientifique","Socialistes et apparentés","SOC"
"841893","Céline","Thiébault-Martinez","Ile-de-France","Seine-et-Marne","9","(37) - Cadre administratif et commercial d'entreprise","Socialistes et apparentés","SOC"
"841107","Jacques","Oberti","Occitanie","Haute-Garonne","10","(38) - Ingénieur et cadre technique d'entreprise","Socialistes et apparentés","SOC"
"720446","Brigitte","Liso","Hauts-de-France","Nord","4","Commerçant","Ensemble pour la République","EPR"
"840701","Bernard","Chaix","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","3","(22) - Commerçant et assimilé","UDR","UDR"
"721932","Marie-France","Lorho","Provence-Alpes-Côte d'Azur","Vaucluse","4","Déléguée médicale","Rassemblement National","RN"
"267285","Laurent","Wauquiez","Auvergne-Rhône-Alpes","Haute-Loire","1","(33) - Cadre de la fonction publique","Droite Républicaine","DR"
"841439","Pascal","Jenft","Grand Est","Moselle","5","(21) - Artisan","Rassemblement National","RN"
"795864","Pierre","Cazeneuve","Ile-de-France","Hauts-de-Seine","7","Cadre de la fonction publique","Ensemble pour la République","EPR"
"722162","Nicolas","Turquois","Nouvelle-Aquitaine","Vienne","4","Agriculteur-propriétaire exploitant","Les Démocrates","Dem"
"605694","Olivier","Falorni","Nouvelle-Aquitaine","Charente-Maritime","1","Professeur du secondaire","Les Démocrates","Dem"
"795900","Marine","Hamelet","Occitanie","Tarn-et-Garonne","2","Profession intermédiaire administrative et commerciale des entreprises","Rassemblement National","RN"
"841613","Marc","de Fleurian","Hauts-de-France","Pas-de-Calais","7","(33) - Cadre de la fonction publique","Rassemblement National","RN"
"795722","Karl","Olive","Ile-de-France","Yvelines","12","Chef d'entreprise","Ensemble pour la République","EPR"
"793992","Henri","Alfandari","Centre-Val de Loire","Indre-et-Loire","3","Ancien artisan, commerçant, chef d'entreprise","Horizons & Indépendants","HOR"
"720838","Soumya","Bourouaha","Ile-de-France","Seine-Saint-Denis","4","Professeure","Gauche Démocrate et Républicaine","GDR"
"721764","Olivia","Grégoire","Ile-de-France","Paris","12","Chef d'entreprise","Ensemble pour la République","EPR"
"841487","Anthony","Boulogne","Grand Est","Meurthe-et-Moselle","6","(37) - Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"793102","Christian","Girard","Provence-Alpes-Côte d'Azur","Alpes-de-Haute-Provence","1","Ancien cadre","Rassemblement National","RN"
"840235","Moerani","Frébault","Polynésie française","Polynésie Française","1","(33) - Cadre de la fonction publique","Ensemble pour la République","EPR"
"719404","Didier","Le Gac","Bretagne","Finistère","3","Profession rattachée à l'enseignement","Ensemble pour la République","EPR"
"842013","Steevy","Gustave","Ile-de-France","Essonne","3","(35) - Profession de l'information, des arts et des spectacles","Écologiste et Social","EcoS"
"719640","Sophie","Mette","Nouvelle-Aquitaine","Gironde","9","Sans profession déclarée","Les Démocrates","Dem"
"794938","Idir","Boumertit","Auvergne-Rhône-Alpes","Rhône","14","Employé administratif d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"793912","Sylvain","Carrière","Occitanie","Hérault","8","Employé de commerce","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"721170","Stéphane","Vojetta","Français établis hors de France","Français établis hors de France","5","Entrepreneur","Ensemble pour la République","EPR"
"795528","Charles","Rodwell","Ile-de-France","Yvelines","1","Cadre de la fonction publique","Ensemble pour la République","EPR"
"793796","David","Taupiac","Occitanie","Gers","2","Consultant aéronautique","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"841067","Alexandre","Allegret-Pilot","Occitanie","Gard","5","(33) - Cadre de la fonction publique","UDR","UDR"
"721202","Éric","Coquerel","Ile-de-France","Seine-Saint-Denis","1","Industriel-Chef d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"719930","Boris","Vallaud","Nouvelle-Aquitaine","Landes","3","Fonctionnaire de catégorie A","Socialistes et apparentés","SOC"
"266808","Vincent","Rolland","Auvergne-Rhône-Alpes","Savoie","2","Collaborateur parlementaire","Droite Républicaine","DR"
"793948","Nicolas","Thierry","Nouvelle-Aquitaine","Gironde","2","Consultant en développement durable","Écologiste et Social","EcoS"
"795966","Stéphane","Rambaud","Provence-Alpes-Côte d'Azur","Var","3","Retraité de la police nationale","Rassemblement National","RN"
"795786","Yaël","Ménaché","Hauts-de-France","Somme","5","Commerciale","Rassemblement National","RN"
"840967","René","Lioret","Bourgogne-Franche-Comté","Côte-d'Or","5","(74) - Ancien cadre","Rassemblement National","RN"
"794530","Matthieu","Marchio","Hauts-de-France","Nord","16","Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"335999","Delphine","Batho","Nouvelle-Aquitaine","Deux-Sèvres","2","Cadre territorial","Écologiste et Social","EcoS"
"719822","Sabine","Thillaye","Centre-Val de Loire","Indre-et-Loire","5","Ancien Chef d'entreprise","Les Démocrates","Dem"
"794778","Sandra","Regol","Grand Est","Bas-Rhin","1","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Écologiste et Social","EcoS"
"719052","Loïc","Kervran","Centre-Val de Loire","Cher","3","Autre cadre (secteur privé)","Horizons & Indépendants","HOR"
"795200","Alma","Dufour","Normandie","Seine-Maritime","4","Responsable associative","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"719338","Graziella","Melchior","Bretagne","Finistère","5","Professeure agrégée","Ensemble pour la République","EPR"
"795912","Laure","Lavalette","Provence-Alpes-Côte d'Azur","Var","2","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Rassemblement National","RN"
"722382","Benjamin","Dirx","Bourgogne-Franche-Comté","Saône-et-Loire","1","Industriel-Chef d'entreprise","Ensemble pour la République","EPR"
"795076","Sandrine","Rousseau","Ile-de-France","Paris","9","Professeur, profession scientifique","Écologiste et Social","EcoS"
"841717","Sandrine","Runel","Auvergne-Rhône-Alpes","Rhône","4","(33) - Cadre de la fonction publique","Socialistes et apparentés","SOC"
"793656","Lisette","Pollet","Auvergne-Rhône-Alpes","Drôme","2","Ouvrier qualifié de type industriel","Rassemblement National","RN"
"721182","Frédéric","Petit","Français établis hors de France","Français établis hors de France","7","Ingénieur","Les Démocrates","Dem"
"721844","Béatrice","Piron","Ile-de-France","Yvelines","3","Chef d'entreprise","Horizons & Indépendants","HOR"
"643184","Brigitte","Klinkert","Grand Est","Haut-Rhin","1","Ancien cadre","Ensemble pour la République","EPR"
"842279","Anchya","Bamana","Mayotte","Mayotte","2","(33) - Cadre de la fonction publique","Rassemblement National","RN"
"793158","José","Beaurain","Hauts-de-France","Aisne","4","Artisan","Rassemblement National","RN"
"793736","Hadrien","Clouet","Occitanie","Haute-Garonne","1","Sociologue","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"793262","Laurent","Alexandre","Occitanie","Aveyron","2","Ouvrier qualifié de type industriel","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"720846","Bastien","Lachaud","Ile-de-France","Seine-Saint-Denis","6","Professeur du secondaire et technique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"842195","Romain","Eskenazi","Ile-de-France","Val-d'Oise","7","(33) - Cadre de la fonction publique","Socialistes et apparentés","SOC"
"795136","Jean-François","Coulomme","Auvergne-Rhône-Alpes","Savoie","4","Ingénieur commercial","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"1008","Alain","David","Nouvelle-Aquitaine","Gironde","4","Ingénieur","Socialistes et apparentés","SOC"
"841359","Constance","de Pélichy","Centre-Val de Loire","Loiret","3","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"719218","Hervé","Berville","Bretagne","Côtes-d'Armor","2","Economiste","Ensemble pour la République","EPR"
"720468","Sébastien","Chenu","Hauts-de-France","Nord","19","Conseiller en communication","Rassemblement National","RN"
"841681","Thierry","Sother","Grand Est","Bas-Rhin","3","(33) - Cadre de la fonction publique","Socialistes et apparentés","SOC"
"719272","Frédérique","Meunier","Nouvelle-Aquitaine","Corrèze","2","Avocate","Droite Républicaine","DR"
"794130","Andy","Kerbrat","Pays de la Loire","Loire-Atlantique","2","Chargé d'assistance automobile","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"793374","Romain","Baubry","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","15","Policier et militaire","Rassemblement National","RN"
"796070","Perceval","Gaillard","Réunion","Réunion","7","Profession intermédiaire de la santé et du travail social","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841825","Patrice","Martin","Normandie","Seine-Maritime","6","(11) - Agriculteur sur petite exploitation","Rassemblement National","RN"
"719550","Liliana","Tanguy","Bretagne","Finistère","7","Cadre supérieur du secteur public","Ensemble pour la République","EPR"
"794570","Alexandre","Sabatou","Hauts-de-France","Oise","3","Chef de projets SI","Rassemblement National","RN"
"718838","Fabrice","Brun","Auvergne-Rhône-Alpes","Ardèche","3","Industriel-Chef d'entreprise","Droite Républicaine","DR"
"841761","Aurélien","Dutremble","Bourgogne-Franche-Comté","Saône-et-Loire","3","(47) - Technicien hospitalier","Rassemblement National","RN"
"817203","Laure","Miller","Grand Est","Marne","2","Avocate","Ensemble pour la République","EPR"
"793122","Romain","Daubié","Auvergne-Rhône-Alpes","Ain","2","Avocat","Les Démocrates","Dem"
"796090","Aymeric","Caron","Ile-de-France","Paris","18","Profession de l'information, des arts et des spectacles","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"1630","Michel","Herbillon","Ile-de-France","Val-de-Marne","8","Cadre supérieur","Droite Républicaine","DR"
"841315","Karim","Benbrahim","Pays de la Loire","Loire-Atlantique","1","(38) - Ingénieur et cadre technique d'entreprise","Socialistes et apparentés","SOC"
"794906","Gabriel","Amard","Auvergne-Rhône-Alpes","Rhône","6","Cadre administratif et commercial d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"840915","Thibaut","Monnier","Auvergne-Rhône-Alpes","Drôme","4","(37) - Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"720552","Isabelle","Rauch","Grand Est","Moselle","9","Consultante","Horizons & Indépendants","HOR"
"795454","Karim","Ben Cheikh","Français établis hors de France","Français établis hors de France","9","Cadre de la fonction publique","Écologiste et Social","EcoS"
"794582","Kévin","Pfeffer","Grand Est","Moselle","6","Permanent politique","Rassemblement National","RN"
"794838","Didier","Lemaire","Grand Est","Haut-Rhin","3","Employé civil et agent de service de la fonction publique","Horizons & Indépendants","HOR"
"795240","Mereana","Reid Arbelot","Polynésie française","Polynésie Française","3","Ingénieur en chef du contrôle de la navigation aérienne","Gauche Démocrate et Républicaine","GDR"
"822617","Martine","Froger","Occitanie","Ariège","1","Chef d'entreprise","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"794670","Caroline","Parmentier","Hauts-de-France","Pas-de-Calais","9","Attachée de Presse","Rassemblement National","RN"
"840757","Monique","Griseti","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","1","(22) - Commerçant et assimilé","Rassemblement National","RN"
"795820","Marcellin","Nadeau","Martinique","Martinique","2","Cadre de la fonction publique","Gauche Démocrate et Républicaine","GDR"
"794470","Félicie","Gérard","Hauts-de-France","Nord","7","Chef de projet","Horizons & Indépendants","HOR"
"721210","Alexis","Corbière","Ile-de-France","Seine-Saint-Denis","7","Professeur de lycée professionnel","Écologiste et Social","EcoS"
"794330","Anthony","Brosse","Centre-Val de Loire","Loiret","5","Profession intermédiaire de la santé et du travail social","Ensemble pour la République","EPR"
"793532","Murielle","Lepvraud","Bretagne","Côtes-d'Armor","4","Employé administratif d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"720162","Philippe","Bolo","Pays de la Loire","Maine-et-Loire","7","Ingénieur","Les Démocrates","Dem"
"840665","Marie-José","Allemand","Provence-Alpes-Côte d'Azur","Hautes-Alpes","1","(12) - Agriculteur sur moyenne exploitation","Socialistes et apparentés","SOC"
"795482","Manon","Meunier","Nouvelle-Aquitaine","Haute-Vienne","3","Cadre de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"267306","André","Chassaigne","Auvergne-Rhône-Alpes","Puy-de-Dôme","5","Retraité de l'éducation nationale","Gauche Démocrate et Républicaine","GDR"
"795664","Paul","Midy","Ile-de-France","Essonne","5","Chef d'entreprise de 10 salariés ou plus","Ensemble pour la République","EPR"
"841251","Mathilde","Feld","Nouvelle-Aquitaine","Gironde","12","(33) - Cadre de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"840817","Joël","Bruneau","Normandie","Calvados","1","(31) - Profession libérale","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
