"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"795672","Arnaud","Le Gall","Ile-de-France","Val-d'Oise","9","Cadre de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841575","Frédéric-Pierre","Vos","Hauts-de-France","Oise","5","avocat","Rassemblement National","RN"
"718850","Pierre","Cordier","Grand Est","Ardennes","2","Fonctionnaire de catégorie A","Droite Républicaine","DR"
"720230","Lise","Magnier","Grand Est","Marne","4","Cadre territorial","Horizons & Indépendants","HOR"
"606545","Jean-Louis","Roumégas","Occitanie","Hérault","1","Enseignant 1er deg.- Professeur d'école","Écologiste et Social","EcoS"
"793134","Jérôme","Buisson","Auvergne-Rhône-Alpes","Ain","4","Professeur d'italien","Rassemblement National","RN"
"795808","Sabrina","Sebaihi","Ile-de-France","Hauts-de-Seine","4","Profession libérale","Écologiste et Social","EcoS"
"794146","Julie","Laernoes","Pays de la Loire","Loire-Atlantique","4","Ancien cadre","Écologiste et Social","EcoS"
"841737","Jonathan","Gery","Auvergne-Rhône-Alpes","Rhône","8","(53) - Policier et militaire","Rassemblement National","RN"
"841451","Julien","Guibert","Bourgogne-Franche-Comté","Nièvre","2","(46) - Profession intermédiaire administrative et commerciale des entreprises","Rassemblement National","RN"
"794198","Roger","Chudeau","Centre-Val de Loire","Loir-et-Cher","2","Inspecteur général de l'éducation nationale honoraire","Rassemblement National","RN"
"842299","Emmanuel","Tjibaou","Nouvelle-Calédonie","Nouvelle-Calédonie","2","(33) - Cadre de la fonction publique","Gauche Démocrate et Républicaine","GDR"
"793444","Manuel","Bompard","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","4","Ingénieur","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"721984","Philippe","Latombe","Pays de la Loire","Vendée","1","Cadre supérieur (secteur privé)","Les Démocrates","Dem"
"841223","Tristan","Lahais","Bretagne","Ille-et-Vilaine","2","(37) - Cadre administratif et commercial d'entreprise","Écologiste et Social","EcoS"
"841633","Peio","Dufau","Nouvelle-Aquitaine","Pyrénées-Atlantiques","6","(48) - Contremaître, agent de maîtrise","Socialistes et apparentés","SOC"
"793290","Gisèle","Lelouis","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","3","Ancien employé","Rassemblement National","RN"
"794486","Violette","Spillebout","Hauts-de-France","Nord","9","Cadre administratif et commercial d'entreprise","Ensemble pour la République","EPR"
"794008","Cyrielle","Chatelain","Auvergne-Rhône-Alpes","Isère","2","Collaboratrice de cabinet","Écologiste et Social","EcoS"
"795298","Jérôme","Legavre","Ile-de-France","Seine-Saint-Denis","12","Professeur de lettres","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"720100","Aurélien","Pradié","Occitanie","Lot","1","Cadre supérieur (secteur privé)","Non inscrit","NI"
"796042","Frédéric","Boccaletti","Provence-Alpes-Côte d'Azur","Var","7","(85) - Personne diverse sans activité professionnelle de moins de 60 ans","Rassemblement National","RN"
"720190","Bertrand","Sorre","Normandie","Manche","2","Enseignant 1er degré-directeur d'école (en disponibilité)","Ensemble pour la République","EPR"
"718784","Éric","Pauget","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","7","Autre cadre (secteur privé)","Droite Républicaine","DR"
"842073","Gaëtan","Dussausaye","Grand Est","Vosges","2","(55) - Employé de commerce","Rassemblement National","RN"
"607619","Paul","Molac","Bretagne","Morbihan","4","Professeur du secondaire","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"795552","Julien","Odoul","Bourgogne-Franche-Comté","Yonne","3","Collaborateur parlementaire","Rassemblement National","RN"
"842029","Claire","Lejeune","Ile-de-France","Essonne","7","34 - Professeur, profession scientifique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"774954","Anne-Laure","Blin","Pays de la Loire","Maine-et-Loire","3","Juriste","Droite Républicaine","DR"
"841947","Zahia","Hamdane","Hauts-de-France","Somme","2","(43) - Profession intermédiaire de la santé et du travail social","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"794434","Christophe","Bentz","Grand Est","Haute-Marne","1","Professeur, profession scientifique","Rassemblement National","RN"
"721908","Yaël","Braun-Pivet","Ile-de-France","Yvelines","5","Avocate","Ensemble pour la République","EPR"
"841131","Manon","Bouquin","Occitanie","Hérault","4","(33) - Cadre de la fonction publique","Rassemblement National","RN"
"712015","Julien","Dive","Hauts-de-France","Aisne","2","Chef de projet dans l'industrie","Droite Républicaine","DR"
"345722","Constance","Le Grip","Ile-de-France","Hauts-de-Seine","6","Conseillère parlementaire","Ensemble pour la République","EPR"
"720256","Géraldine","Bannier","Pays de la Loire","Mayenne","2","Professeur du secondaire et technique","Les Démocrates","Dem"
"719512","Corinne","Vignon","Occitanie","Haute-Garonne","3","Cadre supérieur (secteur privé)","Ensemble pour la République","EPR"
"795228","Nadège","Abomangoli","Ile-de-France","Seine-Saint-Denis","10","Contrôleure interne et risk manager","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841295","Pierrick","Courbon","Auvergne-Rhône-Alpes","Loire","1","(37) - Cadre administratif et commercial d'entreprise","Socialistes et apparentés","SOC"
"793632","Timothée","Houssin","Normandie","Eure","5","Cadre","Rassemblement National","RN"
"722000","Stéphane","Buchou","Pays de la Loire","Vendée","3","Cadre supérieur (secteur privé)","Ensemble pour la République","EPR"
"794082","Mathilde","Hignet","Bretagne","Ille-et-Vilaine","4","Ouvrière agricole","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"794562","Philippe","Ballard","Hauts-de-France","Oise","2","Ancien journaliste","Rassemblement National","RN"
"342415","Marie-Noëlle","Battistel","Auvergne-Rhône-Alpes","Isère","4","Autre cadre (secteur privé)","Socialistes et apparentés","SOC"
"793696","Serge","Muller","Nouvelle-Aquitaine","Dordogne","2","Profession intermédiaire de la santé et du travail social","Rassemblement National","RN"
"841873","Julien","Limongi","Ile-de-France","Seine-et-Marne","4","(74) - Ancien cadre","Rassemblement National","RN"
"719528","Jean-François","Portarrieu","Occitanie","Haute-Garonne","5","Journaliste","Horizons & Indépendants","HOR"
"794686","Marianne","Maximi","Auvergne-Rhône-Alpes","Puy-de-Dôme","1","Profession intermédiaire de la santé et du travail social","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"335612","Jean-Paul","Lecoq","Normandie","Seine-Maritime","8","Électricien","Gauche Démocrate et Républicaine","GDR"
"605782","Laurent","Marcangeli","Corse","Corse-du-Sud","1","Avocat","Horizons & Indépendants","HOR"
"642988","Hervé","de Lépinau","Provence-Alpes-Côte d'Azur","Vaucluse","3","Avocat","Rassemblement National","RN"
"842045","Julie","Ozenne","Ile-de-France","Essonne","9","(38) - Ingénieur et cadre technique d'entreprise","Écologiste et Social","EcoS"
"841777","Arnaud","Sanvert","Bourgogne-Franche-Comté","Saône-et-Loire","5","(56) - Personnel des services directs aux particuliers","Rassemblement National","RN"
"721960","Danièle","Obono","Ile-de-France","Paris","17","Bibliothécaire","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"793608","Katiana","Levavasseur","Normandie","Eure","2","Ouvrier de type industriel","Rassemblement National","RN"
"794442","Laurence","Robert-Dehault","Grand Est","Haute-Marne","2","Profession libérale","Rassemblement National","RN"
"826635","Aurélien","Rousseau","Ile-de-France","Yvelines","7","Maître des requêtes au Conseil d'État","Socialistes et apparentés","SOC"
"841139","Julien","Gabarron","Occitanie","Hérault","6","Cadre Commercial","Rassemblement National","RN"
"642935","Olivier","Becht","Grand Est","Haut-Rhin","5","Magistrat","Ensemble pour la République","EPR"
"795310","Clémence","Guetté","Ile-de-France","Val-de-Marne","2","Cadre du secteur privé","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"610654","Jean-Philippe","Nilor","Martinique","Martinique","4","Collaborateur parlementaire","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"608826","Virginie","Duby-Muller","Auvergne-Rhône-Alpes","Haute-Savoie","4","Cadre du secteur privé","Droite Républicaine","DR"
"606098","Olivier","Marleix","Centre-Val de Loire","Eure-et-Loir","2","Fonctionnaire de catégorie A","Droite Républicaine","DR"
"840983","Bartolomé","Lenoir","Nouvelle-Aquitaine","Creuse","1","(37) - Cadre administratif et commercial d'entreprise","UDR","UDR"
"840159","Bruno","Clavet","Hauts-de-France","Pas-de-Calais","3","(45) - Profession intermédiaire administrative de la fonction publique","Rassemblement National","RN"
"795962","Joséphine","Missoffe","Ile-de-France","Paris","14","Infirmière-Puéricultrice","Ensemble pour la République","EPR"
"794030","Alexis","Jolly","Auvergne-Rhône-Alpes","Isère","6","Commerçant et assimilé","Rassemblement National","RN"
"720728","Jean-Paul","Mattei","Nouvelle-Aquitaine","Pyrénées-Atlantiques","2","Notaire","Les Démocrates","Dem"
"793708","Sébastien","Peytavie","Nouvelle-Aquitaine","Dordogne","4","Profession intermédiaire de la santé et du travail social","Écologiste et Social","EcoS"
"795410","Béatrice","Roullaud","Ile-de-France","Seine-et-Marne","6","Profession libérale","Rassemblement National","RN"
"793398","Jérémie","Patrier-Leitus","Normandie","Calvados","3","Cadre de la fonction publique","Horizons & Indépendants","HOR"
"720960","Olivier","Serva","Guadeloupe","Guadeloupe","1","Expert comptable","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"719138","Michel","Castellani","Corse","Haute-Corse","1","Professeur des Universités","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"841587","David","Magnier","Hauts-de-France","Oise","7","(48) - Contremaître, agent de maîtrise","Rassemblement National","RN"
"793210","Laurent","Panifous","Occitanie","Ariège","2","Directeur d'établissements sanitaires et sociaux","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"720892","Mathilde","Panot","Ile-de-France","Val-de-Marne","10","Coordinatrice de projets associatifs","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"335054","Marietta","Karamanli","Pays de la Loire","Sarthe","2","Professeur dans l'enseignement supérieur","Socialistes et apparentés","SOC"
"817211","René","Pilato","Nouvelle-Aquitaine","Charente","1","Enseignant","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"791812","Sophia","Chikirou","Ile-de-France","Paris","6","Chef d'entreprise de 10 salariés ou plus","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"794154","Jean-Claude","Raux","Pays de la Loire","Loire-Atlantique","6","Professeur, profession scientifique","Écologiste et Social","EcoS"
"722358","Thomas","Gassilloud","Auvergne-Rhône-Alpes","Rhône","10","Industriel - Chef d'entreprise","Ensemble pour la République","EPR"
"793624","Philippe","Brun","Normandie","Eure","4","Magistrat administratif","Socialistes et apparentés","SOC"
"794678","Thierry","Frappé","Hauts-de-France","Pas-de-Calais","10","Profession libérale","Rassemblement National","RN"
"841657","Anaïs","Belouassa-Cherifi","Auvergne-Rhône-Alpes","Rhône","1","(37) - Cadre administratif et commercial d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"721134","Roland","Lescure","Français établis hors de France","Français établis hors de France","1","Ministre","Ensemble pour la République","EPR"
"793432","Franck","Allisio","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","12","Profession libérale","Rassemblement National","RN"
"794798","Françoise","Buffet","Grand Est","Bas-Rhin","4","Ancien artisan, commerçant, chef d'entreprise","Ensemble pour la République","EPR"
"840773","Olivier","Fayssat","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","6","Dirigeant d'entreprise","UDR","UDR"
"795876","Davy","Rimane","Guyane","Guyane","2","Technicien","Gauche Démocrate et Républicaine","GDR"
"721458","Xavier","Roseren","Auvergne-Rhône-Alpes","Haute-Savoie","6","Commerçant","Horizons & Indépendants","HOR"
"794494","Roger","Vicot","Hauts-de-France","Nord","11","sans profession","Socialistes et apparentés","SOC"
"795318","Louis","Boyard","Ile-de-France","Val-de-Marne","3","Elève, étudiant","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"720022","Michel","Lauzzana","Nouvelle-Aquitaine","Lot-et-Garonne","1","Médecin","Ensemble pour la République","EPR"
"841833","David","Guerin","Normandie","Seine-Maritime","9","vétérinaire","Horizons & Indépendants","HOR"
"267794","Michèle","Tabarot","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","9","Chef d'entreprise","Droite Républicaine","DR"
"794894","Anaïs","Sabatini","Occitanie","Pyrénées-Orientales","2","Avocate","Rassemblement National","RN"
"842085","Sébastien","Humbert","Grand Est","Vosges","4","(33) - Cadre de la fonction publique","Rassemblement National","RN"
"794854","Inaki","Echaniz","Nouvelle-Aquitaine","Pyrénées-Atlantiques","4","Cadre de la fonction publique","Socialistes et apparentés","SOC"
"2940","Dominique","Voynet","Bourgogne-Franche-Comté","Doubs","2","Médecin","Écologiste et Social","EcoS"
"720354","Jean-Michel","Jacques","Bretagne","Morbihan","6","Infirmier des forces spéciales","Ensemble pour la République","EPR"
"795330","Eléonore","Caroit","Français établis hors de France","Français établis hors de France","2","Avocate","Ensemble pour la République","EPR"
"720146","Denis","Masséglia","Pays de la Loire","Maine-et-Loire","5","Ingénieur Arts et métiers","Ensemble pour la République","EPR"
"840837","Pascal","Markowsky","Nouvelle-Aquitaine","Charente-Maritime","4","(72) - Ancien artisan, commerçant, chef d'entreprise","Rassemblement National","RN"
"720976","Max","Mathiasin","Guadeloupe","Guadeloupe","3","Fonction publique territoriale","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"793314","Alexandra","Masson","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","4","Profession libérale","Rassemblement National","RN"
"795778","Jean-Philippe","Tanguy","Hauts-de-France","Somme","4","Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"608016","Véronique","Louwagie","Normandie","Orne","2","Expert-comptable","Droite Républicaine","DR"
"793230","Angélique","Ranc","Grand Est","Aube","3","Sans activité professionnelle","Rassemblement National","RN"
"720334","Jimmy","Pahun","Bretagne","Morbihan","2","Navigateur","Les Démocrates","Dem"
"793182","Jorys","Bovet","Auvergne-Rhône-Alpes","Allier","2","Chauffeur-livreur","Rassemblement National","RN"
"796026","Julie","Lechanteux","Provence-Alpes-Côte d'Azur","Var","5","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Rassemblement National","RN"
"842137","Stéphane","Séjourné","Ile-de-France","Hauts-de-Seine","9","(33) - Cadre de la fonction publique","Ensemble pour la République","EPR"
"794166","Matthias","Tavel","Pays de la Loire","Loire-Atlantique","8","Cadre de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"840947","Catherine","Hervieu","Bourgogne-Franche-Comté","Côte-d'Or","2","Psychologue scolaire","Écologiste et Social","EcoS"
"841463","Estelle","Mercier","Grand Est","Meurthe-et-Moselle","1","(34) - Professeur, profession scientifique","Socialistes et apparentés","SOC"
"794886","Sophie","Blanc","Occitanie","Pyrénées-Orientales","1","Profession libérale","Rassemblement National","RN"
"794114","Emmanuel","Mandon","Auvergne-Rhône-Alpes","Loire","3","Conseiller d'insertion professionnelle","Les Démocrates","Dem"
"793756","François","Piquemal","Occitanie","Haute-Garonne","4","Enseignant","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"722070","Pierre","Henriet","Pays de la Loire","Vendée","5","Professeur du secondaire et technique","Horizons & Indépendants","HOR"
"332228","Thierry","Benoit","Bretagne","Ille-et-Vilaine","6","Représentant de commerce","Horizons & Indépendants","HOR"
"794810","Louise","Morel","Grand Est","Bas-Rhin","6","Cadre administratif et commercial d'entreprise","Les Démocrates","Dem"
"793354","Joëlle","Mélin","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","9","Médecin expert judiciaire","Rassemblement National","RN"
"774962","Karine","Lebon","Réunion","Réunion","2","Professeure des écoles","Gauche Démocrate et Républicaine","GDR"
"841745","Pascale","Bay","Auvergne-Rhône-Alpes","Rhône","9","Enseignante retraitée","Droite Républicaine","DR"
"795386","Mathieu","Lefèvre","Ile-de-France","Val-de-Marne","5","Cadre de la fonction publique","Ensemble pour la République","EPR"
"695512","Guillaume","Lepers","Nouvelle-Aquitaine","Lot-et-Garonne","3","(37) - Cadre administratif et commercial d'entreprise","Droite Républicaine","DR"
"793772","Christophe","Bex","Occitanie","Haute-Garonne","7","Retraité","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841507","Nicolas","Bonnet","Auvergne-Rhône-Alpes","Puy-de-Dôme","3","(38) - Ingénieur et cadre technique d'entreprise","Écologiste et Social","EcoS"
"840685","Vincent","Trébuchet","Auvergne-Rhône-Alpes","Ardèche","2","(37) - Cadre administratif et commercial d'entreprise","UDR","UDR"
"842097","Sophie-Laurence","Roy","Bourgogne-Franche-Comté","Yonne","2","(31) - Profession libérale","Rassemblement National","RN"
"720370","Ludovic","Mendes","Grand Est","Moselle","2","Cadre supérieur (secteur privé)","Ensemble pour la République","EPR"
"795362","Lisa","Belluco","Nouvelle-Aquitaine","Vienne","1","Cadre de la fonction publique","Écologiste et Social","EcoS"
"719890","Danielle","Brulebois","Bourgogne-Franche-Comté","Jura","1","Retraitée de l'enseignement","Ensemble pour la République","EPR"
"842255","Anne","Sicard","Ile-de-France","Val-d'Oise","1","(37) - Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"795844","Karen","Erodi","Occitanie","Tarn","2","Profession libérale","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841919","Dieynaba","Diop","Ile-de-France","Yvelines","9","(34) - Professeur, profession scientifique","Socialistes et apparentés","SOC"
"1327","Nicolas","Forissier","Centre-Val de Loire","Indre","2","Chef d'entreprise","Droite Républicaine","DR"
"719032","Bertrand","Bouyx","Normandie","Calvados","5","Pharmacien","Horizons & Indépendants","HOR"
"408578","Jean-Didier","Berger","Ile-de-France","Hauts-de-Seine","12","(37) - Cadre administratif et commercial d'entreprise","Droite Républicaine","DR"
"607193","Sophie","Errante","Pays de la Loire","Loire-Atlantique","10","Industriel-Chef d'entreprise","Non inscrit","NI"
"841845","Arnaud","Saint-Martin","Ile-de-France","Seine-et-Marne","1","(34) - Professeur, profession scientifique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841479","Frédéric","Weber","Grand Est","Meurthe-et-Moselle","3","(43) - Profession intermédiaire de la santé et du travail social","Rassemblement National","RN"
"796078","Estelle","Youssouffa","Mayotte","Mayotte","1","Consultante","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"794118","Antoine","Vermorel-Marques","Auvergne-Rhône-Alpes","Loire","5","Conseiller parlementaire","Droite Républicaine","DR"
"331582","Philippe","Vigier","Centre-Val de Loire","Eure-et-Loir","4","Biologiste A.I.H.P.","Les Démocrates","Dem"
"842001","Guillaume","Bigot","Bourgogne-Franche-Comté","Territoire de Belfort","2","(35) - Profession de l'information, des arts et des spectacles","Rassemblement National","RN"
"341981","Marie","Récalde","Nouvelle-Aquitaine","Gironde","6","Avocate","Socialistes et apparentés","SOC"
"722328","Eliane","Kremer","Grand Est","Bas-Rhin","7","retraitée","Droite Républicaine","DR"
"841183","Hanane","Mansouri","Auvergne-Rhône-Alpes","Isère","8","(84) - Elève, étudiant","UDR","UDR"
"841601","Pauline","Levasseur","Hauts-de-France","Pas-de-Calais","2","Collaboratrice parlementaire","Ensemble pour la République","EPR"
"841885","Arnaud","Bonnet","Ile-de-France","Seine-et-Marne","8","(34) - Professeur, profession scientifique","Écologiste et Social","EcoS"
"793780","Christine","Arrighi","Occitanie","Haute-Garonne","9","Ancien cadre","Écologiste et Social","EcoS"
"720430","Ugo","Bernalicis","Hauts-de-France","Nord","2","Fonctionnaire de catégorie A","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"793298","Lionel","Tivoli","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","2","Chef d'entreprise de 10 salariés ou plus","Rassemblement National","RN"
"720386","Fabien","Di Filippo","Grand Est","Moselle","4","Ancien cadre du secteur privé","Droite Républicaine","DR"
"793832","Yoann","Gillet","Occitanie","Gard","1","Cadre de la fonction publique","Rassemblement National","RN"
"346782","Philippe","Juvin","Ile-de-France","Hauts-de-Seine","3","Professeur de médecine","Droite Républicaine","DR"
"795374","Pascal","Lecamp","Nouvelle-Aquitaine","Vienne","3","Cadre administratif et commercial d'entreprise","Les Démocrates","Dem"
"794058","Justine","Gruet","Bourgogne-Franche-Comté","Jura","3","Masseur Kinésithérapeute","Droite Républicaine","DR"
"795108","Élise","Leboucher","Pays de la Loire","Sarthe","4","Educatrice spécialisée","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"793548","Caroline","Colombier","Nouvelle-Aquitaine","Charente","3","Ancienne avocate / Ancien cadre","Rassemblement National","RN"
"267561","Brigitte","Barèges","Occitanie","Tarn-et-Garonne","1","Avocat","UDR","UDR"
"720822","Bruno","Bilde","Hauts-de-France","Pas-de-Calais","12","Juriste","Rassemblement National","RN"
"841931","Laurent","Mazaury","Ile-de-France","Yvelines","11","(37) - Cadre administratif et commercial d'entreprise","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
"719798","Daniel","Labaronne","Centre-Val de Loire","Indre-et-Loire","2","Retraité de l'enseignement supérieur","Ensemble pour la République","EPR"
"841853","Céline","Hervieu","Ile-de-France","Paris","11","(31) - Profession libérale","Socialistes et apparentés","SOC"
"757225","Mikaele","Seo","Wallis-et-Futuna","Wallis-et-Futuna","1","Profession intermédiaire administrative de la fonction publique","Ensemble pour la République","EPR"
"841813","Florence","Herouin-Léautey","Normandie","Seine-Maritime","1","(33) - Cadre de la fonction publique","Socialistes et apparentés","SOC"
"841023","Pierre-Yves","Cadalen","Bretagne","Finistère","2","(34) - Professeur, profession scientifique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"795644","Nathalie","Da Conceicao Carvalho","Ile-de-France","Essonne","2","Profession libérale","Rassemblement National","RN"
"841749","Tiffany","Joncour","Auvergne-Rhône-Alpes","Rhône","13","(37) - Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"642725","Eric","Liégeon","Bourgogne-Franche-Comté","Doubs","5","Exploitant agricole","Droite Républicaine","DR"
"794954","Emeric","Salmon","Bourgogne-Franche-Comté","Haute-Saône","2","Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"794518","Pierre","Marle","Hauts-de-France","Nord","14","Directeur d'école primaire (retraité)","Horizons & Indépendants","HOR"
"841199","Thierry","Perez","Auvergne-Rhône-Alpes","Isère","10","(33) - Cadre de la fonction publique","Rassemblement National","RN"
"841701","Léa","Balage El Mariky","Ile-de-France","Paris","3","(37) - Cadre administratif et commercial d'entreprise","Écologiste et Social","EcoS"
"793592","Géraldine","Grangier","Bourgogne-Franche-Comté","Doubs","4","Profession intermédiaire administrative de la fonction publique","Rassemblement National","RN"
"721158","Pieyre-Alexandre","Anglade","Français établis hors de France","Français établis hors de France","4","Agent contractuel au Parlement européen","Ensemble pour la République","EPR"
"795516","Maxime","Laisney","Ile-de-France","Seine-et-Marne","10","Professeur des écoles, instituteur et assimilé","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"719472","Jean-René","Cazeneuve","Occitanie","Gers","1","Ingénieur","Ensemble pour la République","EPR"
"793330","Bryan","Masson","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","6","Profession intermédiaire administrative de la fonction publique","Rassemblement National","RN"
"793852","Pierre","Meurin","Occitanie","Gard","4","Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"793246","Frédéric","Falcon","Occitanie","Aude","2","Commerçant et assimilé","Rassemblement National","RN"
"795982","Aurélien","Saintoul","Ile-de-France","Hauts-de-Seine","11","Cadre de la fonction publique","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"840997","Benoît","Biteau","Nouvelle-Aquitaine","Charente-Maritime","2","(12) - Agriculteur sur moyenne exploitation","Écologiste et Social","EcoS"
"609332","Olivier","Faure","Ile-de-France","Seine-et-Marne","11","Cadre supérieur (secteur privé)","Socialistes et apparentés","SOC"
"793508","Hubert","Brigand","Bourgogne-Franche-Comté","Côte-d'Or","4","Ancienne profession intermédiaire","Droite Républicaine","DR"
"794502","Michaël","Taverne","Hauts-de-France","Nord","12","Policier et militaire","Rassemblement National","RN"
"795730","Bastien","Marchive","Nouvelle-Aquitaine","Deux-Sèvres","1","Juriste","Ensemble pour la République","EPR"
"794770","Michèle","Martinez","Occitanie","Pyrénées-Orientales","4","Clerc d'huissier","Rassemblement National","RN"
"605745","Nicolas","Sansu","Centre-Val de Loire","Cher","2","Permanent politique","Gauche Démocrate et Républicaine","GDR"
"793904","Aurélien","Lopez-Liguori","Occitanie","Hérault","7","Attaché parlementaire","Rassemblement National","RN"
"840793","Marc","Pena","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","11","(34) - Professeur, profession scientifique","Socialistes et apparentés","SOC"
